material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3,gating_efficiency_eta,quantum_proxy,dielectric_proxy,surface_proxy,debye_length_nm_physio_0p15M,loc_ooc_score_physio_0p15M_2nm,loc_ooc_score_physio_0p15M_5nm,loc_ooc_score_physio_0p15M_10nm,debye_length_nm_diluted_0p01M,loc_ooc_score_diluted_0p01M_2nm,loc_ooc_score_diluted_0p01M_5nm,loc_ooc_score_diluted_0p01M_10nm,loc_ooc_score_robust_min,loc_ooc_score_main
mp-17678,Sr(ScS2)2,"S,Sc,Sr",3,1.356999999999999,0.0,-2.282851445535714,3.329279432980175,28,1.0,0.0,b,112,0,0,160,,True,0.0,1.0,b,0.9719981392368712,1.0,0.9625786674738714,1.0,0.5772080493156068,58,0.5526315789473684,0.8613494346263261,0.6666666666666666,0.42426813746287667,0.30036529529299943,0.3333333333333333,0.7849246248313698,0.0022155861694772086,4.848474657078223e-05,8.301041861461652e-08,3.0399999999999996,0.014667550830410653,0.005467358111975728,0.0010555465397627088,8.301041861461652e-08,4.848474657078223e-05
mp-8965,K2Sn2S5,"K,S,Sn",3,1.406299999999999,0.0,-1.028475990222223,3.269186103197366,18,1.0,0.0,c,28,28,0,104,,True,0.0,1.0,c,0.9878800318214102,1.0,0.9838030383598156,1.0,0.253202916053922,48,0.6842105263157895,0.8150123954323172,0.6666666666666666,0.4155757802435276,0.3058865321316424,0.3333333333333333,0.7849246248313698,0.0022100854257672206,4.8364371128651485e-05,8.280432460466629e-08,3.0399999999999996,0.014631134987469034,0.005453784035661739,0.001052925882949993,8.280432460466629e-08,4.8364371128651485e-05
mp-1211440,K2PbCl6,"Cl,K,Pb",3,1.6065,0.0,-1.445836170277776,3.089934362473732,18,1.0,0.0,c,8,24,0,88,,True,0.0,1.0,c,0.9843703064798264,1.0,0.9791126834817018,1.0,0.3610070349755766,48,0.6842105263157895,0.8354006304971198,0.6666666666666666,0.3836562440053712,0.32363147002236725,0.3333333333333333,0.7849246248313698,0.002158696028444673,4.723979202631991e-05,8.087894005277406e-08,3.0399999999999996,0.014290928586221056,0.005326971437627122,0.0010284430163968474,8.087894005277406e-08,4.723979202631991e-05
mp-27181,KAuCl4,"Au,Cl,K",3,1.4257,0.0,-1.318467975374999,3.368241353990244,24,1.0,0.0,b,16,0,0,100,,True,0.0,1.0,b,0.9923619719033318,1.0,0.9897926493637264,1.0,0.3281078349888702,54,0.6052631578947368,0.8235960451281793,0.6666666666666666,0.4122521334047904,0.2968908385425923,0.3333333333333333,0.7849246248313698,0.0021279341481743987,4.656661488273043e-05,7.972639785252611e-08,3.0399999999999996,0.014087279796244308,0.005251060954905974,0.0010137874833721287,7.972639785252611e-08,4.656661488273043e-05
mp-1102093,EuI2,"Eu,I",2,1.3259,0.0,-1.8748465075,5.292732391321431,12,1.0,0.0,b,32,0,0,56,,True,0.0,1.0,b,0.9587754830301192,1.0,0.94490806820898,1.0,0.4718203890582966,32,0.8947368421052632,0.8700647790744307,0.6666666666666666,0.4299410980695645,0.18893832638123065,0.5,0.7849246248313698,0.0021184526443291597,4.63591265361342e-05,7.93711584065807e-08,3.0399999999999996,0.014024510655727603,0.005227663635642952,0.0010092703182474022,7.93711584065807e-08,4.63591265361342e-05
mp-1025201,Rb2PdCl4,"Cl,Pd,Rb",3,1.7485,0.0,-1.733442019285714,3.046260817114228,7,1.0,0.0,b,32,0,0,40,,True,0.0,1.0,b,0.9178080428382626,1.0,0.8901596721817855,1.0,0.4352956150334255,37,0.8289473684210527,0.8424937778942369,0.6666666666666666,0.36383481899217757,0.3282713004683939,0.3333333333333333,0.7849246248313698,0.0020765177615015436,4.544144515935789e-05,7.780000210219888e-08,3.0399999999999996,0.013746894720985375,0.005124181755786111,0.0009892917585895356,7.780000210219888e-08,4.544144515935789e-05
mp-1211293,La(YS2)3,"La,S,Y",3,1.0838,0.0,-2.439135338687501,4.119286934675758,20,1.0,0.0,b,72,0,0,108,,True,0.0,1.0,b,0.7861664643889247,1.0,0.7142354446284621,1.0,0.6175761730801494,50,0.6578947368421053,0.8178635694573559,0.6666666666666666,0.47989250407908624,0.24276046215234412,0.3333333333333333,0.7849246248313698,0.00202544473484015,4.4323789349624796e-05,7.58864708744434e-08,3.0399999999999996,0.013408782746403192,0.004998149859366478,0.0009649596169150985,7.58864708744434e-08,4.4323789349624796e-05
mp-558121,K4Ba(VS4)2,"Ba,K,S,V",4,1.5514,0.0,-1.531453596933332,2.545394677335719,30,1.0,0.0,a,0,0,20,132,,True,0.0,1.0,a,0.996337335091706,1.0,0.995105277079048,1.0,0.3831220130832462,70,0.3947368421052631,0.8148744060969376,0.6666666666666666,0.39194167907815314,0.39286638292443765,0.25,0.7849246248313698,0.002007825919916868,4.393822827860835e-05,7.522635427756999e-08,3.0399999999999996,0.013292143246202745,0.004954672258711055,0.0009565656851496828,7.522635427756999e-08,4.393822827860835e-05
mp-18642,Ca(YS2)2,"Ca,S,Y",3,1.5361,0.0,-2.407047725892858,3.454275226819853,28,1.0,0.0,b,112,0,0,152,,True,0.0,1.0,b,0.9981916231983844,1.0,0.9975833254788872,1.0,0.6092879438936343,58,0.5526315789473684,0.8765165780431855,0.6666666666666666,0.39430621820906114,0.28949632971795386,0.3333333333333333,0.7849246248313698,0.0019846099475021904,4.343018189592783e-05,7.435653137686894e-08,3.0399999999999996,0.013138449627709882,0.004897382663362686,0.0009455051632493671,7.435653137686894e-08,4.343018189592783e-05
mp-568986,KAuCl4,"Au,Cl,K",3,1.4211,0.000193206666665,-1.318274768708334,3.670605181305291,24,1.0,0.0,b,16,0,0,104,,True,0.0,1.0,b,0.9913911452470044,0.996086859576402,0.9884952482567632,1.0,0.3280579297140861,54,0.6052631578947368,0.8220877716694023,0.6666666666666666,0.4130353971335343,0.2724346396864164,0.3333333333333333,0.7849246248313698,0.0019563568478028785,4.281190561417823e-05,7.329798458437214e-08,3.0399999999999996,0.012951409384515864,0.0048276630487715105,0.000932044860041112,7.329798458437214e-08,4.281190561417823e-05
