query_label,material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
Mo-Te,mp-1104612,Cs(TeMo)3,"Cs,Mo,Te",3,0.0,0.14976118468254102,-0.48672892137931106,5.757528285192497,14
Mo-Te,mp-16096,Tl(TeMo)3,"Mo,Te,Tl",3,0.0,0.11450783061688101,-0.287510241190479,7.7866543706656355,14
Mo-Te,mp-22061,In(TeMo)3,"In,Mo,Te",3,0.0,0.0,-0.29588318714285805,7.111712261870189,14
Mo-Te,mp-975237,Rb(TeMo)3,"Mo,Rb,Te",3,0.0,0.061652439642858006,-0.49096144535714203,6.239278327054516,14
Mo-Te,mp-976892,Na(TeMo)3,"Mo,Na,Te",3,0.18760000000000002,0.0,-0.501976929285713,6.547936392441767,14
Mo-Te,mp-505260,Te10Mo3I10,"I,Mo,Te",3,1.1881,0.04796349597826,-0.40422982007246405,4.8410632159461535,46
Mo-Te,mp-1213449,K2Te(MoO5)3,"K,Mo,O,Te",4,1.4054,0.38170112142856505,-1.3739710698174599,3.10462953587371,84
Mo-Te,mp-818535,Rb2Te(MoO5)3,"Mo,O,Rb,Te",4,1.8704,0.37944698357142204,-1.3827193560317461,3.273871380758096,84
Mo-Te,mp-562767,Cs2Te(MoO4)3,"Cs,Mo,O,Te",4,2.575599999999999,0.012547683333337,-2.001408935887612,4.697336329406579,36
Mo-Te,mp-818265,TeMo3(NO6)2,"Mo,N,O,Te",4,1.5968,0.652600004965282,-0.9370521312037041,3.707386116360595,36
Mo-Te,mp-1190916,Ag2Te3Mo3O16,"Ag,Mo,O,Te",4,2.020299999999999,0.010744540972220001,-1.5645405863888882,5.23355103629832,24
Mo-Te,mp-553969,Na2Te3Mo3O16,"Mo,Na,O,Te",4,2.6404,0.013230382083326001,-1.833165568864942,4.533035373735545,24
Mo-Te,mp-1247278,Te3(Mo2N)2,"Mo,N,Te",3,0.0,0.38003703180555304,-0.14864117305555602,8.00941376682268,36
Mo-Te,mp-27531,TeMo5O16,"Mo,O,Te",3,1.1411,0.006427703977280001,-1.873891724962122,4.585470106915488,88
Mo-Te,mp-1046563,Te3Mo5O18,"Mo,O,Te",3,1.607299999999999,0.10687021689560301,-1.703218553269231,4.739810736703913,52
Mo-Te,mp-1217495,TeMo5O16,"Mo,O,Te",3,0.8666,0.01005983113637,-1.870259597803031,4.563942502166919,44
Mo-Te,mp-1105049,TeMo6,"Mo,Te",2,0.0,0.5785208985714291,0.5029004274999961,9.049134228069011,14
