material_id,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason
mp-1189897,1.0,0.0,c,36,36,0,112,
mp-17908,1.0,0.0,b,24,0,0,148,
mp-560493,0.3333333333333333,0.6666666666666666,c,12,12,8,136,
mp-1104423,1.0,0.0,b,16,0,0,76,
mp-1106265,,,,0,0,0,104,too_few_inplane_bonds
mp-1205397,1.0,0.0,c,56,56,0,104,
mp-1078636,0.5,0.5,b,24,16,32,80,
mp-1190623,1.0,0.0,b,96,0,0,144,
mp-5587,1.0,0.0,b,96,0,0,144,
mp-1190528,1.0,0.0,b,96,0,0,144,
mp-1190380,1.0,0.0,b,96,0,0,144,
mp-568105,,,,0,0,0,96,too_few_inplane_bonds
mp-3813,1.0,0.0,c,20,20,0,48,
mp-1202519,1.0,0.0,b,16,0,0,208,
mp-1202948,1.0,0.0,b,16,0,0,208,
mp-19913,1.0,0.0,a,0,0,16,104,
mp-1228324,1.0,0.0,a,0,32,0,256,
mp-561443,1.0,0.0,c,16,16,0,68,
mp-571415,1.0,0.0,b,48,0,0,268,
mp-11692,,,,8,0,0,100,too_few_inplane_bonds
mp-17470,,,,0,0,0,192,too_few_inplane_bonds
mp-2911,,,,0,0,0,192,too_few_inplane_bonds
mp-601867,,,,0,0,0,192,too_few_inplane_bonds
mp-29354,1.0,0.0,b,32,0,0,242,
mp-1192376,1.0,0.0,c,56,56,0,192,
mp-1192373,1.0,0.0,c,48,48,0,180,
mp-18439,1.0,0.0,c,56,56,0,208,
mp-524,1.0,0.0,b,28,0,0,172,
mp-669415,1.0,0.0,b,184,0,0,264,
mp-1228659,,,,0,0,0,288,too_few_inplane_bonds
mp-1195592,1.0,0.0,b,96,0,0,416,
mp-541715,1.0,0.0,c,56,56,0,192,
mp-1190744,,,,0,0,0,144,too_few_inplane_bonds
mp-1200759,,,,0,0,0,224,too_few_inplane_bonds
mp-620346,1.0,0.0,b,112,0,0,160,
mp-1105941,0.5,0.5,c,16,16,8,120,
mp-772034,,,,8,0,0,240,too_few_inplane_bonds
mp-1195033,1.0,0.0,b,28,0,0,280,
mp-1195,1.0,0.0,b,16,0,0,172,
mp-1195624,,,,0,0,0,256,too_few_inplane_bonds
mp-1194583,,,,0,0,0,256,too_few_inplane_bonds
mp-1214632,,,,0,0,0,144,too_few_inplane_bonds
mp-1191360,,,,0,0,0,144,too_few_inplane_bonds
mp-556291,1.0,0.0,b,28,0,0,256,
mp-540923,1.0,0.0,a,0,8,8,172,
mp-1096842,0.3333333333333333,0.6666666666666666,a,16,16,24,120,
mp-1195068,1.0,0.0,b,16,0,0,252,
mp-1095255,0.9230769230769232,0.0769230769230769,b,26,2,2,70,
mp-9668,0.3333333333333333,0.6666666666666666,a,16,16,24,120,
mp-1190457,,,,0,0,0,144,too_few_inplane_bonds
mp-8570,1.0,0.0,c,28,28,0,288,
mp-569563,,,,0,0,0,216,too_few_inplane_bonds
mp-1195344,1.0,0.0,a,0,0,32,208,
mp-1228309,1.0,0.0,a,0,0,32,240,
mp-554975,1.0,0.0,c,120,120,0,212,
mp-1228102,1.0,0.0,b,16,0,0,80,
mp-1189858,0.1666666666666666,0.8333333333333334,a,60,60,72,112,
mp-1193666,,,,0,0,0,168,too_few_inplane_bonds
mp-1193105,,,,0,0,0,168,too_few_inplane_bonds
mp-1195568,,,,0,0,0,288,too_few_inplane_bonds
mp-1197353,1.0,0.0,b,32,0,0,224,
mp-10409,1.0,0.0,c,120,120,0,216,
mp-28823,,,,0,0,0,320,too_few_inplane_bonds
mp-1228229,1.0,0.0,b,32,0,0,168,
mp-1196887,,,,0,0,0,204,too_few_inplane_bonds
mp-10410,1.0,0.0,c,120,120,0,212,
mp-17513,1.0,0.0,c,120,120,0,212,
mp-1228123,0.4285714285714286,0.5714285714285714,c,14,14,8,116,
mp-1204617,,,,0,0,0,408,too_few_inplane_bonds
mp-557032,0.15,0.85,a,68,68,80,128,
mp-1105201,0.868421052631579,0.131578947368421,a,10,76,36,108,
mp-1105231,1.0,0.0,c,16,8,0,124,
mp-17566,1.0,0.0,c,16,16,0,248,
mp-554688,0.1666666666666666,0.8333333333333334,a,80,80,96,152,
mp-569168,,,,0,0,0,384,too_few_inplane_bonds
mp-570423,,,,0,0,0,304,too_few_inplane_bonds
mp-1202124,,,,0,0,0,296,too_few_inplane_bonds
mp-583221,,,,0,0,0,228,too_few_inplane_bonds
mp-1198460,1.0,0.0,c,8,8,0,304,
mp-1192196,1.0,0.0,c,56,56,0,106,
mp-34034,0.3333333333333333,0.6666666666666666,a,8,8,12,96,
mp-675219,,,,4,4,0,132,too_few_inplane_bonds
mp-673874,,,,4,4,0,132,too_few_inplane_bonds
mp-7394,0.3333333333333333,0.6666666666666666,c,12,12,8,40,
mp-29682,,,,0,0,0,244,too_few_inplane_bonds
mp-1086652,1.0,0.0,c,24,24,0,40,
mp-1190401,1.0,0.0,c,24,24,0,108,
mp-1079647,1.0,0.0,c,24,24,0,40,
mp-16742,1.0,0.0,c,24,24,0,40,
mp-1191234,1.0,0.0,c,6,8,0,80,
mp-866301,1.0,0.0,b,16,0,0,112,
mp-861618,1.0,0.0,c,16,16,0,60,
mp-27365,1.0,0.0,b,144,0,0,240,
mp-1095151,1.0,0.0,c,24,24,0,40,
mp-1079603,1.0,0.0,c,24,24,0,40,
mp-8885,1.0,0.0,b,64,0,0,88,
mp-12306,,,,0,0,0,256,too_few_inplane_bonds
mp-17947,1.0,0.0,c,16,16,0,120,
mp-1080650,1.0,0.0,c,24,24,0,40,
mp-9195,1.0,0.0,c,24,24,0,40,
mp-13287,1.0,0.0,c,24,24,0,40,
mp-9503,,,,0,0,0,72,too_few_inplane_bonds
mp-559025,1.0,0.0,b,40,0,0,68,
mp-14969,1.0,0.0,c,8,8,0,72,
